Wpay	v_sep	SS_tau	SH_tau	FS_tau	SS_TOGW	SS_Spln	SS_Swet	SS_OWEw	SS_OWEv	SS_OEW	SS_mppl	SS_WR	SH_TOGW	SH_Spln	SH_Swet	SH_OWEw	SH_OWEv	SH_OEW	SH_mppl	SH_WR	FS_TOGW	FS_Spln	FS_Swet	FS_OWEw	FS_OWEv	FS_OEW	FS_mppl	FS_WR
130000	1500	0.19	0.28	0.167948618607013	1693495.17136755	581.810522972354	1881.19455266741	256811.538587943	256811.538587943	126811.538587943	1436683.63367019	6.59431107172861	3936323.15858743	624.775557188178	2288.91573562391	331034.2244576	331034.2244576	331034.2244576	3605288.93411958	11.8909854865516	5629818.32995498	1206.58608016053	4170.11028829132	587845.763045542	587845.763045543	457845.763045542	5041972.56778977	18.4852965582802
120000	1500	0.17	0.3	0.1649756342	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3848337.98480307	587.625113645083	2244.33422529807	325665.431509137	325665.431509137	325665.431509137	3522672.55320875	11.8168451802964	5500420.57353154	1196.31217718195	4190.84198596042	576196.923105003	576196.923105003	456196.923105003	4924223.65046019	18.411156252025
130000	1500	0.17	0.3	0.164690659086251	1750409.27108372	635.649355548267	2032.72991616614	265442.326279366	265442.326279366	135442.326279366	1484966.94481006	6.59431107172861	4048689.85491793	608.41372895865	2323.73280742364	335594.209905194	335594.209905063	335594.209905194	3713095.64632322	12.0642422804976	5799099.12600165	1244.06308450692	4356.46272358979	601036.53618456	601036.53618443	471036.53618456	5198062.59113328	18.6585533522262
110000	1500	0.15	0.28	0.150152403203819	1626039.99968244	644.648836218867	2052.74400781711	246582.240908816	246582.240908815	136582.240908816	1379457.76040784	6.59431107172861	3798662.28120316	609.71893794705	2233.75459445921	324152.502950675	324152.502950504	324152.502950675	3474509.77688032	11.7187504191785	5424702.2808856	1254.36777416592	4286.49860227631	570734.743859491	570734.74385932	460734.743859491	4853967.53728815	18.3130614909071
130000	1500	0.19	0.3	0.173974931736024	1693495.17136755	581.810522972354	1881.19455266741	256811.538587943	256811.538587943	126811.538587943	1436683.63367019	6.59431107172861	3932776.54797799	596.428859062081	2277.95863428158	329865.518702392	329865.518702392	329865.518702392	3602911.02832757	11.9223632785279	5626271.71934554	1178.23938203443	4159.15318694899	586677.057290335	586677.057290335	456677.057290335	5039594.66199776	18.5166743502565
130000	1500	0.17	0.28	0.159176005276679	1750409.27108372	635.649355548267	2032.72991616614	265442.326279366	265442.326279366	135442.326279366	1484966.94481006	6.59431107172861	4052302.9637602	637.32689055705	2334.89855956851	336784.828351527	336784.82835151	336784.828351527	3715518.13400024	12.0323204052472	5802712.23484392	1272.97624610532	4367.62847573465	602227.154630893	602227.154630876	472227.154630893	5200485.07881029	18.6266314769758
110000	1700	0.15	0.3	0.158150440332079	1515456.15333718	622.049220347003	1980.78044648961	242483.513021754	242483.513021754	132483.513021754	1272972.64141698	6.24972863331443	4034288.44161874	607.256813014108	2319.31416364917	333060.321213457	333060.32121343	333060.321213457	3701228.11921566	12.1127861335471	5549744.59495593	1229.30603336111	4300.09461013878	575543.834235212	575543.834235184	465543.834235212	4974200.76063264	18.3625147668616
110000	1700	0.15	0.28	0.152807805044681	1515456.15333718	622.049220347003	1980.78044648961	242483.513021754	242483.513021754	132483.513021754	1272972.64141698	6.24972863331443	4038221.21388566	636.150718785468	2330.58955924864	334262.862983854	334262.862983853	334262.862983854	3703958.34918673	12.0809747637614	5553677.36722285	1258.19993913247	4311.37000573824	576746.376005608	576746.376005607	466746.376005608	4976930.9906037	18.3307033970759
110000	1700	0.15	0.32	0.163228697890536	1515456.15333718	622.049220347003	1980.78044648961	242483.513021754	242483.513021754	132483.513021754	1272972.64141698	6.24972863331443	4036477.64562411	581.841495743708	2325.59066820302	333729.724245796	333729.724245796	333729.724245796	3702747.92118938	12.095049832787	5551933.7989613	1203.89071609071	4306.37111469263	576213.237267551	576213.23726755	466213.237267551	4975720.56260635	18.3447784661014
120000	1700	0.17	0.3	0.167653785088994	1542549.19358107	588.301851952071	1881.31831450919	246818.587512217	246818.587512217	126818.587512217	1295730.60609711	6.24972863331443	4096797.97771012	613.68527022441	2343.8665631262	336074.775687543	336074.775687525	336074.775687543	3760723.20028229	12.1901382440518	5639347.17129119	1201.98712217648	4225.18487763539	582893.36319976	582893.363199742	462893.36319976	5056453.8063794	18.4398668773662
120000	1700	0.17	0.28	0.161802270056392	1542549.19358107	588.301851952071	1881.31831450919	246818.587512217	246818.587512217	126818.587512217	1295730.60609711	6.24972863331443	4100769.36228558	642.883150073452	2355.25436525262	337289.124267287	337289.124267256	337289.124267287	3763480.23753381	12.1580242787533	5643318.55586665	1231.18500202552	4236.57267976181	584107.711779504	584107.711779473	464107.711779504	5059210.84363092	18.4077529120677
120000	1700	0.17	0.32	0.173220748171377	1542549.19358107	588.301851952071	1881.31831450919	246818.587512217	246818.587512217	126818.587512217	1295730.60609711	6.24972863331443	4099008.67738573	587.999937586686	2350.20564493718	336750.751609732	336750.75121223	336750.751609732	3762257.92577597	12.1722331955955	5641557.8709668	1176.30178953876	4231.52395944637	583569.339121948	583569.338724447	463569.339121948	5057988.53187308	18.4219618289099
