Wpay	v_sep	SS_tau	SH_tau	FS_tau	SS_TOGW	SS_Spln	SS_Swet	SS_OWEw	SS_OWEv	SS_OEW	SS_mppl	SS_WR	SH_TOGW	SH_Spln	SH_Swet	SH_OWEw	SH_OWEv	SH_OEW	SH_mppl	SH_WR	FS_TOGW	FS_Spln	FS_Swet	FS_OWEw	FS_OWEv	FS_OEW	FS_mppl	FS_WR
110000	1500	0.15	0.26	0.144809835114241	1626039.99968244	644.648836218867	2052.74400781711	246582.240908816	246582.240908815	136582.240908816	1379457.76040784	6.59431107172861	3808438.56795547	641.399295263044	2263.94786216912	327374.058220585	327374.058220583	327374.058220585	3481064.50927846	11.63329369529	5434478.56763791	1286.04813148191	4316.69186998623	573956.299129401	573956.299129398	463956.299129401	4860522.2696863	18.2276047670187
110000	1300	0.15	0.26	0.142581447535315	1746126.26403646	668.766074030642	2129.54010612948	250956.208829537	250956.208829537	140956.208829537	1495170.05522379	6.95789226414156	3579855.40677203	614.363676639337	2168.52020667028	317456.607663562	317456.607663562	317456.607663562	3262398.79905529	11.2766763088225	5325981.67080849	1283.12975066998	4298.06031279976	568412.816493099	568412.816493099	458412.816493099	4757568.85427908	18.2345685729641
110000	1300	0.15	0.28	0.147629565494024	1746126.26403646	668.766074030642	2129.54010612948	250956.208829537	250956.208829537	140956.208829537	1495170.05522379	6.95789226414156	3571226.43738642	584.086764498481	2139.84905595076	314396.164087262	314396.164087261	314396.164087262	3256830.27329916	11.3590013025579	5317352.70142288	1252.85283852912	4269.38916208023	565352.372916799	565352.372916798	455352.372916799	4752000.32852295	18.3168935666995
110000	1500	0.15	0.32	0.159976148615121	1626039.99968244	644.648836218867	2052.74400781711	246582.240908816	246582.240908815	136582.240908816	1379457.76040784	6.59431107172861	3797125.32630524	557.6773822214	2229.00794365696	323646.034184766	323646.034184765	323646.034184766	3473479.29212048	11.7323400420149	5423165.32598768	1202.32621844027	4281.75195147407	570228.275093582	570228.27509358	460228.275093582	4852937.05252832	18.3266511137435
110000	1300	0.15	0.24	0.137193387873233	1746126.26403646	668.766074030642	2129.54010612948	250956.208829537	250956.208829537	140956.208829537	1495170.05522379	6.95789226414156	3595113.64142206	649.333312748322	2219.22074884679	322868.258135361	322868.258135315	322868.258135361	3272245.38317543	11.1349243870345	5341239.90545852	1318.09938677896	4348.76085497627	573824.466964898	573824.466964852	463824.466964898	4767415.43839922	18.0928166511761
110000	1300	0.17	0.24	0.145861259800467	1665080.11730241	601.970303007967	1925.0283712039	239308.120059868	239308.120059869	129308.120059868	1425771.99725095	6.95789226414156	3448271.77729841	631.006665932121	2156.58592929755	314984.564203236	314984.564203236	314984.564203236	3133287.21215253	10.9474309799221	5113351.89460083	1232.97696894009	4081.61430050145	554292.684263105	554292.684263105	444292.684263105	4559059.20940348	17.9053232440636
120000	1500	0.17	0.28	0.159428199849903	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3851835.73787491	615.555690308047	2255.13800834331	326818.037339877	326818.037339833	326818.037339877	3525017.70110661	11.7858725601511	5503918.32660338	1224.24275384492	4201.64576900565	577349.528935743	577349.528935698	457349.528935743	4926568.79835804	18.3801836318797
120000	1500	0.17	0.26	0.15355843292215	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3861699.17810088	647.534920153928	2285.60478470922	330068.311890164	330068.311890157	330068.311890164	3531630.86552854	11.6996968151967	5513781.76682935	1256.2219836908	4232.11254537156	580599.80348603	580599.803486023	460599.80348603	4933181.96277997	18.2940078869253
120000	1500	0.17	0.3	0.1649756342	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3848337.98480307	587.625113645083	2244.33422529807	325665.431509137	325665.431509137	325665.431509137	3522672.55320875	11.8168451802964	5500420.57353154	1196.31217718195	4190.84198596042	576196.923105003	576196.923105003	456196.923105003	4924223.65046019	18.411156252025
120000	1500	0.17	0.32	0.170239396688982	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3850285.07083235	563.016549835873	2250.34832324663	326307.049862368	326307.049862304	326307.049862368	3523978.02076391	11.799576724592	5502367.65956082	1171.70361337274	4196.85608390898	576838.541458234	576838.54145817	456838.541458234	4925529.11801535	18.3938877963206
