Wpay (Ton)	v_sep (km/s)	SS_tau	SH_tau	FS_tau	SS_TW0	SS_Wstr (Ton)	SS_Weng (Ton)	SS_Wsys (Ton)	SS_Vtot (m^3)	SS_Vfix (m^3)	SS_Vppl (m^3)	SS_Vsys (m^3)	SS_Veng (m^3)	SS_Vvv (m^3)	SS_Vpay (m^3)	SH_TW0	SH_Wstr (Ton)	SH_Weng (Ton)	SH_Wsys (Ton)	SH_Vtot (m^3)	SH_Vfix (m^3)	SH_Vppl (m^3)	SH_Vsys (m^3)	SH_Veng (m^3)	SH_Vvv (m^3)	FS_TW0	FS_Wstr (Ton)	FS_Weng (Ton)	FS_Wsys (Ton)	FS_Vtot (m^3)	FS_Vfix (m^3)	FS_Vppl (m^3)	FS_Vsys (m^3)	FS_Veng (m^3)	FS_Vvv (m^3)
125	1300	0.19	0.24	0.153501682784527	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.32679771659468	182.543689625879	45.7491422035836	39.528143739775	3989.71128748244	5	3685.18360545308	76.8148031746838	41.9999999999998	199.485564374122	1.56379168759398	260.642084116621	53.9785885234582	63.6815236407544	6706.54316230846	10	5374.50014241593	130.717776921552	49.7399999999999	335.327158115423
125	1300	0.19	0.26	0.159965773039157	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.33669139264513	178.374438050808	45.7491422019892	39.0666837524365	3977.81501181791	5	3674.13558017966	76.6006702127224	41.9999999985254	198.890750590896	1.56825434036673	256.472832541549	53.9785885218637	63.2200636534159	6694.64688664393	10	5363.45211714251	130.503643959591	49.7399999985254	334.732344332197
125	1300	0.19	0.28	0.166040223537013	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.34232390855273	176.016705366391	45.7491422005941	38.8057138226694	3971.08719234698	5	3667.88757932748	76.4795694622456	41.9999999972542	198.554359617349	1.57078940232105	254.115099857133	53.9785885204687	62.9590937236488	6687.919067173	10	5357.20411629033	130.382543209114	49.7399999972543	334.39595335865
125	1300	0.19	0.3	0.17177261800457	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.34432811222599	175.180511157719	45.7491421931069	38.7131560536979	3968.70102873718	5	3665.67161083978	76.4366185172692	41.9999999903753	198.435051436859	1.57169047846453	253.278905648461	53.9785885129814	62.8665359546773	6685.5329035632	10	5354.98814780263	130.339592264138	49.7399999903753	334.27664517816
125	1300	0.19	0.32	0.17720316823231	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.34321199550058	175.645999886305	45.7491422027476	38.7646808206702	3970.02935236932	5	3666.90518955313	76.4605283426478	41.999999999232	198.501467618466	1.57118874274567	253.744394377046	53.9785885226222	62.9180607216496	6686.86122719534	10	5356.22172651598	130.363502089516	49.739999999232	334.343061359767
125	1300	0.19	0.34	0.182366155131592	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.33939003952052	177.243376414602	45.7491422035834	38.9414912236755	3974.58755120346	5	3671.13828854619	76.5425759216622	41.9999999999997	198.729377560173	1.5694694387025	255.341770905344	53.9785885234579	63.0948711246549	6691.41942602948	10	5360.45482550904	130.445549668531	49.7399999999997	334.570971301474
125	1300	0.19	0.36	0.187291035274491	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.33320530798633	179.839431805411	45.7491422035659	39.2288348781705	3981.99523810496	5	3678.01771474334	76.6759142858893	41.9999999999837	199.099761905248	1.5666833217432	257.937826296153	53.9785885234405	63.3822147791499	6698.82711293099	10	5367.3342517062	130.578888032758	49.7399999999837	334.941355646549
125	1300	0.19	0.38	0.192003302004559	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.32494536636431	183.328251430361	45.7491421907737	39.6149773854691	3991.94980047556	5	3687.26252873425	76.8550964085601	41.9999999882398	199.597490023778	1.56295478090992	261.426645921102	53.9785885106483	63.7683572864485	6708.78167530158	10	5376.57906569711	130.758070155428	49.7399999882398	335.439083765079
125	1300	0.21	0.2	0.145332522326511	0.901471223175155	73.519835939807	8.2294463724722	23.2488738307095	2671.29277477025	5	1646.8740956616	53.0832699458645	7.7400000492695	133.564638738513	830.030770375	2.34249282251119	195.015861313238	45.7491421955002	40.8521390717664	3942.13608917932	5	3640.67078224887	75.9584496052277	41.9999999925787	197.106804458966	1.58397428594984	268.535697253045	53.9785885679724	64.1010129024759	6613.42886394957	10	5287.54487791047	129.041719551092	49.7400000418482	330.671443197478
125	1300	0.21	0.22	0.153329595383911	0.901471223175155	73.519835939807	8.2294463724722	23.2488738307095	2671.29277477025	5	1646.8740956616	53.0832699458645	7.7400000492695	133.564638738513	830.030770375	2.36420752885122	186.032590538799	45.7491422035836	39.8578184558718	3916.50252920221	5	3616.86529694455	75.4970455256397	41.9999999999999	195.82512646011	1.59387330177871	259.552426478606	53.9785885760558	63.1066922865813	6587.79530397246	10	5263.73939260616	128.580315471504	49.7400000492694	329.389765198623
